,accuracy,precision,recall,f1
Dummy (Baseline),0.8045112781954887,0.6472383967437391,0.8045112781954887,0.7173558897243109
Logistic Regression,0.8195488721804511,0.8000754097633465,0.8195488721804511,0.8080937638213179
Random Forest,0.8195488721804511,0.8039284257154514,0.8195488721804511,0.7616576108993593
XGBoost,0.8195488721804511,0.8080042626250665,0.8195488721804511,0.7716867419384581
Bi-LSTM,0.8120300751879699,0.7949988607883345,0.8120300751879699,0.7346430930883695
